record_type,equation,noise,trial,mode,condition,gen,fitness,avg_fit,r2,complexity,solved,best_found,wall_time_s
gen_log,I.6.2b,0.0,0,hybrid,hybrid,46,9.643559656629592e-05,0.0006708359700022202,0.7922955826011675,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*sin(sqrt(log(theta))))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,47,9.461611950509529e-05,0.0012137301724291425,0.816547340816846,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*sqrt(log(theta)))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,48,9.151690722685729e-05,0.0008996343358661752,-1.287133686816237,,,0.707785721722826*sqrt(I)*(-sigma + 0.429284668100296*theta*sqrt(-sqrt(theta1)*(-theta + theta1))/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.714713627888845*sin(sqrt(log(theta))))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,49,9.147894622063454e-05,0.000527175570958316,-1.287133686816237,,,0.707785721722826*sqrt(I)*(-sigma + 0.429284668100296*theta*sqrt(-sqrt(theta1)*(-theta + theta1))/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.714713627888845*sin(sqrt(log(theta))))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,50,9.147894622063454e-05,0.00039204993272520713,0.9369437021217761,,,0.462715200055202*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.711188508757094*sqrt(log(theta)))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,51,8.270302387439713e-05,0.000577382904881435,0.5489377649204441,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - sqrt(log(theta))*sin(sin(sqrt(48831.7300240219*theta1**2 + sqrt(-theta + theta1)) - sqrt(cos(sigma + theta + log(theta1))))))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,52,8.270302387439713e-05,0.0005015768688327043,0.5489377649204441,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - sqrt(log(theta))*sin(sin(sqrt(48831.7300240219*theta1**2 + sqrt(-theta + theta1)) - sqrt(cos(sigma + theta + log(theta1))))))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,53,7.533597263585812e-05,0.00046226068108602046,0.8542836345807143,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,54,6.618428458270059e-05,0.2163649040727956,0.816450123328971,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,55,5.828849068561443e-05,0.0001723852808561732,0.808075141146577,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(0.912748094538613 - theta1/theta) - 0.912748094538613 + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
