record_type,equation,noise,trial,mode,condition,gen,fitness,avg_fit,r2,complexity,solved,best_found,wall_time_s
gen_log,I.29.16,0.01,0,hybrid,hybrid,39,0.33789039597647946,0.553679735736657,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,40,0.33789039597647946,0.7639987560195517,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,41,0.33789039597647946,1.0492870179358897,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,42,0.33789039597647946,0.6307736522291886,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,43,0.33789039597647946,0.7242579799467798,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,44,0.33789039597647946,0.9526781992927659,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,45,0.33789039597647946,0.7197403060088071,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,46,0.33789039597647946,0.720475678679338,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,47,0.33789039597647946,0.8687375504699297,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,48,0.33789039597647946,0.7811412288440861,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,49,0.33789039597647946,0.791578177635278,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,50,0.33789039597647946,0.7547602373951794,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
trial_summary,I.29.16,0.01,0,hybrid,hybrid,,0.3378904463327644,,0.905541089520012,22,False,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),149.03237870000157
